image,ground truth
train/001-3-1.jpg,train/001-3-1gt.png
train/001-3-5.jpg,train/001-3-5gt.png
train/001-3-8.jpg,train/001-3-8gt.png
train/001-5-1.jpg,train/001-5-1gt.png
train/001-5-5.jpg,train/001-5-5gt.png
train/001-5-8.jpg,train/001-5-8gt.png
train/001-8-1.jpg,train/001-8-1gt.png
train/001-8-2.jpg,train/001-8-2gt.png
train/001-8-3.jpg,train/001-8-3gt.png
train/001-028-1.jpg,train/001-028-1gt.png
train/001-028-5.jpg,train/001-028-5gt.png
train/001-028-8.jpg,train/001-028-8gt.png
train/001-030-1.jpg,train/001-030-1gt.png
train/001-030-5.jpg,train/001-030-5gt.png
train/001-030-8.jpg,train/001-030-8gt.png
train/001-032-1.jpg,train/001-032-1gt.png
train/001-032-5.jpg,train/001-032-5gt.png
train/001-032-8.jpg,train/001-032-8gt.png
train/001-034-1.jpg,train/001-034-1gt.png
train/001-034-5.jpg,train/001-034-5gt.png
train/001-034-7.jpg,train/001-034-7gt.png
train/001-036-1.jpg,train/001-036-1gt.png
train/001-036-5.jpg,train/001-036-5gt.png
train/001-036-8.jpg,train/001-036-8gt.png
train/001-038-1.jpg,train/001-038-1gt.png
train/001-038-5.jpg,train/001-038-5gt.png
train/001-038-8.jpg,train/001-038-8gt.png
train/002-014-1.jpg,train/002-014-1gt.png
train/002-014-5.jpg,train/002-014-5gt.png
train/002-014-8.jpg,train/002-014-8gt.png
train/002-016-1.jpg,train/002-016-1gt.png
train/002-016-5.jpg,train/002-016-5gt.png
train/002-016-8.jpg,train/002-016-8gt.png
train/002-018-1.jpg,train/002-018-1gt.png
train/002-018-5.jpg,train/002-018-5gt.png
train/002-018-8.jpg,train/002-018-8gt.png
train/002-020-1.jpg,train/002-020-1gt.png
train/002-020-5.jpg,train/002-020-5gt.png
train/002-020-8.jpg,train/002-020-8gt.png
train/002-022-1.jpg,train/002-022-1gt.png
train/002-022-5.jpg,train/002-022-5gt.png
train/002-022-8.jpg,train/002-022-8gt.png
train/002-024-1.jpg,train/002-024-1gt.png
train/002-024-5.jpg,train/002-024-5gt.png
train/002-024-8.jpg,train/002-024-8gt.png
train/002-026-1.jpg,train/002-026-1gt.png
train/002-026-5.jpg,train/002-026-5gt.png
train/002-026-8.jpg,train/002-026-8gt.png
train/003-014-1.jpg,train/003-014-1gt.png
train/003-014-5.jpg,train/003-014-5gt.png
train/003-014-8.jpg,train/003-014-8gt.png
train/003-016-1.jpg,train/003-016-1gt.png
train/003-016-5.jpg,train/003-016-5gt.png
train/003-016-8.jpg,train/003-016-8gt.png
train/003-018-1.jpg,train/003-018-1gt.png
train/003-018-5.jpg,train/003-018-5gt.png
train/003-018-8.jpg,train/003-018-8gt.png
train/003-020-1.jpg,train/003-020-1gt.png
train/003-020-5.jpg,train/003-020-5gt.png
train/003-020-8.jpg,train/003-020-8gt.png
train/003-022-1.jpg,train/003-022-1gt.png
train/003-022-5.jpg,train/003-022-5gt.png
train/003-022-8.jpg,train/003-022-8gt.png
train/003-024-1.jpg,train/003-024-1gt.png
train/003-024-5.jpg,train/003-024-5gt.png
train/003-024-8.jpg,train/003-024-8gt.png
train/003-026-1.jpg,train/003-026-1gt.png
